38H -0.53 -0.56 1.13
39H -0.26 -0.67 1.07
40H -0.64 2.61 -1.01
41H 48.52 46.42 53.06
42H 12.75 11.52 16.85
43H -21.65 -13.37 -1.69
44H 0.63 -1.54 -1.39
45H -3.64 -2.68 -1.10
46H -0.59 0.47 -0.45
47H -0.83 0.18 -0.71
48H 0.16 -0.63 -0.94
49H 7.65 6.46 6.19
50H 6.35 7.77 6.44
51H -0.29 -0.23 0.92
52H 2.66 0.31 0.95
53H 1.33 1.14 3.76
54H 3.76 3.52 6.17
55H -1.12 -0.63 0.56
56H -0.27 -0.54 0.77
57H 0.32 0.44 1.06
58H -0.24 -0.22 0.46
59H -0.15 -0.13 0.57
60H -0.17 -0.18 0.35
61H -0.11 -0.12 0.22
62H -0.10 -0.11 0.20
63H -0.42 -0.58 0.77
1C 0.42 -9.98 -7.65
2C -2.07 -4.25 -0.18
4C -21.79 -34.46 -31.40
8C -1.68 -2.90 -5.76
11C -25.51 -10.58 -29.51
13C -26.95 112.53 -29.52
15C -28.42 -44.09 -33.97
16C 1.23 26.78 -0.05
17C -10.68 -14.80 -11.54
18C 0.02 1.18 0.33
19C 4.51 60.99 2.65
20C -9.24 -8.82 -10.41
21C -12.41 -32.82 -14.71
22C -7.62 42.16 -8.13
24C -33.31 -34.69 -30.14
25C -12.48 -13.89 -10.84
26C 16.99 23.93 17.69
28C 0.67 0.61 2.49
30C -0.31 -0.24 0.36
32C 0.03 0.02 0.44
0N -5.54 -6.05 -4.72
7N 2.13 -1.17 -3.04
10N -5.37 2.75 -8.55
14N -11.68 292.63 -10.47
23N 3.09 178.41 5.97
3O 107.13 29.20 21.02
6O 0.30 0.44 10.61
9O -7.33 43.24 -8.37
12O -19.26 85.82 -17.55
27O -2.07 0.91 -1.11
29O -0.28 -0.22 0.82
31O -0.19 -0.21 0.49
33O -0.07 -0.11 0.19
35O -0.07 -0.06 0.13
36O -0.10 -0.11 0.24
37O -0.06 -0.06 0.13
34P -0.08 -0.09 0.17
5S 1189.45 -453.35 -275.45
