38H -0.53 -0.44 1.14
39H -0.12 -0.64 0.92
40H -0.76 2.55 -1.13
41H 47.24 45.07 51.67
42H 13.58 12.93 18.62
43H -22.16 -14.38 -1.43
44H 0.54 -1.52 -1.36
45H -3.33 -2.78 -0.89
46H -0.52 0.38 -0.40
47H -0.52 0.46 -0.42
48H -0.60 0.39 -0.34
49H 7.62 6.24 6.48
50H 6.33 7.72 6.43
51H -0.27 -0.20 0.88
52H 2.69 0.37 0.92
53H 1.36 1.19 3.77
54H 4.02 3.80 6.42
55H -1.11 0.47 -0.63
56H -0.21 -0.53 0.69
57H 0.38 0.54 1.10
58H -0.23 -0.21 0.45
59H -0.14 -0.11 0.55
60H -0.17 -0.16 0.33
61H -0.11 -0.11 0.21
62H -0.10 -0.10 0.19
63H -0.36 -0.58 0.69
1C -0.23 -9.87 -7.70
2C -2.10 -4.17 -0.37
4C -21.45 -34.23 -31.31
8C -1.94 -2.84 -5.37
11C -24.60 -11.27 -28.63
13C -26.91 105.70 -29.27
15C -29.27 -40.74 -34.67
16C 0.64 23.99 -0.65
17C -10.57 -12.25 -11.24
18C -0.29 0.76 -0.04
19C 4.30 60.46 2.54
20C -9.24 -8.89 -10.42
21C -12.87 -33.51 -15.19
22C -8.43 43.57 -8.98
24C -33.48 -35.63 -29.67
25C -12.98 -14.51 -11.47
26C 17.86 25.16 18.52
28C 0.85 0.77 2.73
30C -0.33 -0.26 0.31
32C 0.03 0.02 0.43
0N -5.98 -5.40 -4.75
7N -2.92 -1.03 0.75
10N -5.30 3.72 -8.24
14N -8.87 303.30 -7.93
23N 4.03 185.56 6.64
3O 101.72 25.14 18.64
6O 0.23 0.10 10.02
9O -6.67 39.48 -7.65
12O -19.13 84.71 -17.38
27O -2.08 0.96 -1.21
29O -0.24 -0.18 0.85
31O -0.15 -0.17 0.52
33O -0.05 -0.10 0.19
35O -0.07 -0.06 0.13
36O -0.10 -0.11 0.23
37O -0.06 -0.06 0.13
34P -0.09 -0.08 0.16
5S 1190.01 -457.08 -277.63
